NrHaul,RectangleAlpha,Area,Lat_start_deg,Lat_start_min,Lon_start_deg,Lon_start_min,Lat_end_deg,Lat_end_min,Lon_end_deg,Lon_end_min,Layer,EEZ,Lat_start_deg_dec,Lon_start_deg_dec,Lat_end_deg_dec,Lon_end_deg_dec,codstock,Country
24337,39G2,24,55,15.163,12,28.158,55,14,12,30.2,2,DEN,55.2527166666667,12.4693,55.2333333333333,12.5033333333333,21-24,DK_extra
24002,37G2,24,54,26.48,12,20.88,54,24.85,12,19.4,2,GFR,54.4413333333333,12.348,54.4141666666667,12.3233333333333,21-24,DK_extra
24078,38G4,24,54,41.59,14,7.13,54,40.49,14,4.59,2,GFR,54.6931666666667,14.1188333333333,54.6748333333333,14.0765,21-24,DK_extra
24328,38G2,24,54,38.39,12,41.08,54,37.62,12,38.57,2,GFR,54.6398333333333,12.6846666666667,54.627,12.6428333333333,21-24,DK_extra
24080,38G4,24,54,40.88,14,26.16,54,41.67,14,28.54,2,DEN,54.6813333333333,14.436,54.6945,14.4756666666667,21-24,DK_extra
24062,38G3,24,54,48.24,13,0.36,54,48.23,12,56.02,2,GFR,54.804,13.006,54.8038333333333,12.9336666666667,21-24,DK_extra
24343,38G2,24,54,44.401,12,18.118,54,42.9,12,16.3,2,DEN,54.7400166666667,12.3019666666667,54.715,12.2716666666667,21-24,DK_extra
24012,38G4,24,54,31.93,14,15.04,54,30.46,14,21.75,2,GFR,54.5321666666667,14.2506666666667,54.5076666666667,14.3625,21-24,DK_extra
24267,39G3,24,55,15.4,13,59.9,55,15.6,13,57.3,2,SWE,55.2566666666667,13.9983333333333,55.26,13.955,21-24,DK_extra
24066,38G3,24,54,44.6,13,20.22,54,44.24,13,23.23,2,GFR,54.7433333333333,13.337,54.7373333333333,13.3871666666667,21-24,DK_extra
24107,39G3,24,55,16.4,13,44.6,55,15.1,13,42.9,3,SWE,55.2733333333333,13.7433333333333,55.2516666666667,13.715,21-24,DK_extra
24182,38G3,24,54,52.5,13,24.41,54,53.38,13,28.48,3,GFR,54.875,13.4068333333333,54.8896666666667,13.4746666666667,21-24,DK_extra
24228,39G3,24,55,0.57,13,40.37,55,1.06,13,44.65,3,GFR,55.0095,13.6728333333333,55.0176666666667,13.7441666666667,21-24,DK_extra
25205,39G5,25,55,5.6,15,33.1,55,4.3,15,34.7,4,DEN,55.0933333333333,15.5516666666667,55.0716666666667,15.5783333333333,25-32,DK_extra
25240,39G5,25,55,28.6,15,12.8,55,30.1,15,17.7,4,DEN,55.4766666666667,15.2133333333333,55.5016666666667,15.295,25-32,DK_extra
25309,40G7,25,55,50.3,17,42.4,55,52.5,17,39.4,4,SWE,55.8383333333333,17.7066666666667,55.875,17.6566666666667,25-32,DK_extra
