"Year","Index2123Q1","Index2123Q1.CV"
"1991",24621.0678148628,0.298018449202841
"1992",22784.6595479044,0.239939603004385
"1993",28674.6408794158,0.277666587676496
"1994",16285.0801761752,0.242975980726588
"1995",20381.3012792239,0.289282149914521
"1996",15555.3045735466,0.164910909932559
"1997",12834.0666888603,0.16840708644331
"1998",13985.1579877867,0.178212097427683
"1999",12218.3336275273,0.17468860810454
"2000",21826.8501597693,0.172945252885444
"2001",14054.6528027562,0.152705336045749
"2002",13288.2201266762,0.150338869499437
"2003",14133.1969713364,0.160895663766099
"2004",12667.4886717959,0.159988068808329
"2005",19000.6601937814,0.152119198553322
"2006",18639.0160500676,0.148248432763377
"2007",19338.2444948898,0.145832739984836
"2008",14858.6282110325,0.140799177733006
"2009",12163.9357020599,0.157545761790392
"2010",20490.0387702076,0.157805096297318
"2011",26914.7936640483,0.146593837414293
"2012",24370.1426197622,0.150372898970653
"2013",27828.2275510571,0.146344149945927
"2014",35491.2935282124,0.162258637727611
"2015",26109.619391971,0.153946891165096
"2016",37290.7704151181,0.141787124617683
"2017",25289.5525123754,0.133348000028357
"2018",25106.0994934147,0.137296847779115
"2019",16280.0588267209,0.143376325589833
"2020",13430.895787532,0.14397482428516
"2021",17501.2678109082,0.134815174509924
"2022",18091.7450588076,0.135825143506972
"2023",17551.3385754573,0.14029302778199
"2024",28089.1746087885,0.155846486244823
